"exercise_name";"type_of_activity";"type_of_equipment";"body_part";"type";"muscle_groups_activated";"instructions"
"Jumping Jacks";"Strength";"Cable Machine";"Upper Body";"Static";"Core, Lats";"Hold the position steadily, ensuring your Core, Lats remain activated without losing alignment."
"Side Plank";"Mobility";"Kettlebells";"Core";"Hold";"Abs, Hamstrings";"Maintain a stable position, keeping your Abs, Hamstrings engaged throughout the duration."
"Overhead Press";"Mobility";"None";"Core";"Push";"Hip Flexors, Hamstrings, Core, Glutes";"Perform the movement by engaging your Hip Flexors, Hamstrings, Core, Glutes and keeping proper form. Avoid overextending."
"Push-Ups";"Cardio";"Medicine Ball";"Core";"Static";"Traps, Abs, Hip Flexors";"Hold the position steadily, ensuring your Traps, Abs, Hip Flexors remain activated without losing alignment."
"Bench Press";"Cardio";"Resistance Band";"Full Body";"Push";"Shoulders, Chest";"Perform the movement by engaging your Shoulders, Chest and keeping proper form. Avoid overextending."
"Tricep Dips";"Mobility";"Cable Machine";"Lower Body";"Pull";"Traps, Triceps, Shoulders, Chest, Core";"Pull the cable machine towards you using your Traps, Triceps, Shoulders, Chest, Core, and return to the starting position with control."
"Plank";"Strength";"Kettlebells";"Full Body";"Hold";"Rear Deltoids, Abs, Triceps";"Maintain a stable position, keeping your Rear Deltoids, Abs, Triceps engaged throughout the duration."
"Deadlifts";"Mobility";"Resistance Band";"Core";"Static";"Biceps, Rear Deltoids, Glutes, Hip Flexors";"Hold the position steadily, ensuring your Biceps, Rear Deltoids, Glutes, Hip Flexors remain activated without losing alignment."
"Russian Twists";"Mobility";"None";"Core";"Static";"Forearms, Triceps, Lower Back, Abs, Lats";"Hold the position steadily, ensuring your Forearms, Triceps, Lower Back, Abs, Lats remain activated without losing alignment."
"Squats";"Cardio";"Kettlebells";"Full Body";"Static";"Hamstrings, Abs, Core, Lats, Quadriceps";"Hold the position steadily, ensuring your Hamstrings, Abs, Core, Lats, Quadriceps remain activated without losing alignment."
"Leg Raises";"Cardio";"None";"Full Body";"Static";"Hamstrings, Core, Forearms";"Hold the position steadily, ensuring your Hamstrings, Core, Forearms remain activated without losing alignment."
"Kettlebell Swings";"Mobility";"Kettlebells";"Lower Body";"Pull";"Forearms, Lower Back, Hip Flexors, Quadriceps, Hamstrings";"Pull the kettlebells towards you using your Forearms, Lower Back, Hip Flexors, Quadriceps, Hamstrings, and return to the starting position with control."
"Lunges";"Warm-up";"Resistance Band";"Upper Body";"Push";"Shoulders, Forearms, Hip Flexors";"Perform the movement by engaging your Shoulders, Forearms, Hip Flexors and keeping proper form. Avoid overextending."
"Dumbbell Rows";"Cardio";"Kettlebells";"Full Body";"Hold";"Forearms, Chest, Shoulders, Abs, Core";"Maintain a stable position, keeping your Forearms, Chest, Shoulders, Abs, Core engaged throughout the duration."
"Bicep Curls";"Warm-up";"Dumbbells";"Upper Body";"Pull";"Lower Back, Hamstrings";"Pull the dumbbells towards you using your Lower Back, Hamstrings, and return to the starting position with control."
"Pull-Ups";"Warm-up";"Medicine Ball";"Core";"Pull";"Hamstrings, Glutes, Chest";"Pull the medicine ball towards you using your Hamstrings, Glutes, Chest, and return to the starting position with control."
"Resistance Band Pull";"Strength";"Resistance Band";"Full Body";"Static";"Lats, Abs";"Hold the position steadily, ensuring your Lats, Abs remain activated without losing alignment."
